time,frequency
2025-03-16 16:15:59.092,49.0
2025-03-16 16:15:57.983,49.0
2025-03-16 16:15:56.869,49.0
2025-03-16 16:15:55.744,49.0
2025-03-16 16:15:54.625,49.0
2025-03-16 16:15:53.517,49.0
2025-03-16 16:15:52.402,49.0
2025-03-16 16:15:51.291,49.0
2025-03-16 16:15:50.125,49.0
2025-03-16 16:15:49.001,49.0
2025-03-16 16:15:47.894,49.0
2025-03-16 16:15:46.768,49.0
2025-03-16 16:15:45.648,49.0
2025-03-16 16:15:44.530,49.0
2025-03-16 16:15:43.414,49.0
2025-03-16 16:15:42.289,49.0
2025-03-16 16:15:41.167,49.0
2025-03-16 16:15:40.041,49.0
2025-03-16 16:15:38.921,49.0
2025-03-16 16:15:37.784,49.0
2025-03-16 16:15:36.667,49.0
2025-03-16 16:15:35.552,49.0
2025-03-16 16:15:34.412,49.0
2025-03-16 16:15:33.279,49.0
2025-03-16 16:15:32.116,49.0
2025-03-16 16:15:30.986,49.0
2025-03-16 16:15:29.855,49.0
2025-03-16 16:15:28.724,49.0
2025-03-16 16:15:27.614,49.0
2025-03-16 16:15:26.480,49.0
2025-03-16 16:15:25.364,49.0
2025-03-16 16:15:24.207,49.0
2025-03-16 16:15:23.102,49.0
2025-03-16 16:15:21.949,49.0
2025-03-16 16:15:20.804,49.0
2025-03-16 16:15:19.681,49.0
2025-03-16 16:15:18.565,49.0
2025-03-16 16:15:17.446,49.0
2025-03-16 16:15:16.322,49.0
2025-03-16 16:15:15.193,49.0
2025-03-16 16:15:14.021,49.0
2025-03-16 16:15:12.914,49.0
2025-03-16 16:15:11.806,49.0
2025-03-16 16:15:10.688,49.0
2025-03-16 16:15:09.561,49.0
2025-03-16 16:15:08.435,49.0
2025-03-16 16:15:07.305,49.0
2025-03-16 16:15:06.158,49.0
2025-03-16 16:15:05.033,49.0
2025-03-16 16:15:03.889,49.0
2025-03-16 16:15:02.659,49.0
2025-03-16 16:15:01.411,49.0
2025-03-16 16:15:00.283,49.0
2025-03-16 16:14:59.127,49.0
2025-03-16 16:14:58.029,49.0
2025-03-16 16:14:56.914,49.0
2025-03-16 16:14:55.784,49.0
2025-03-16 16:14:54.646,49.0
2025-03-16 16:14:53.529,49.0
2025-03-16 16:14:52.406,49.0
2025-03-16 16:14:51.280,49.0
2025-03-16 16:14:50.155,49.0
2025-03-16 16:14:48.945,49.0
2025-03-16 16:14:47.819,49.0
2025-03-16 16:14:46.703,49.0
2025-03-16 16:14:45.593,49.0
2025-03-16 16:14:44.481,49.0
2025-03-16 16:14:43.369,49.0
2025-03-16 16:14:42.255,49.0
2025-03-16 16:14:41.153,49.0
2025-03-16 16:14:40.047,49.0
2025-03-16 16:14:38.936,49.0
2025-03-16 16:14:37.832,49.0
2025-03-16 16:14:36.712,49.0
2025-03-16 16:14:35.605,49.0
2025-03-16 16:14:34.498,49.0
2025-03-16 16:14:33.397,49.0
2025-03-16 16:14:32.287,49.0
2025-03-16 16:14:31.165,49.0
2025-03-16 16:14:30.052,49.0
2025-03-16 16:14:28.946,49.0
2025-03-16 16:14:27.805,49.0
2025-03-16 16:14:26.691,49.0
2025-03-16 16:14:25.589,49.0
2025-03-16 16:14:24.453,49.0
2025-03-16 16:14:23.334,49.0
2025-03-16 16:14:22.217,49.0
2025-03-16 16:14:21.098,49.0
2025-03-16 16:14:19.974,49.0
2025-03-16 16:14:18.857,49.0
2025-03-16 16:14:17.757,49.0
2025-03-16 16:14:16.532,49.0
2025-03-16 16:14:15.424,49.0
2025-03-16 16:14:14.309,49.0
2025-03-16 16:14:13.216,49.0
2025-03-16 16:14:12.115,49.0
2025-03-16 16:14:11.010,49.0
2025-03-16 16:14:09.902,49.0
2025-03-16 16:14:08.787,49.0
2025-03-16 16:14:07.681,49.0
2025-03-16 16:14:06.576,49.0
2025-03-16 16:14:05.468,49.0
2025-03-16 16:14:04.365,49.0
2025-03-16 16:14:03.243,49.0
2025-03-16 16:14:02.134,49.0
2025-03-16 16:14:01.033,49.0
